No	IDp	JP	PP	PM	TR	H	K	P	M	S	TG	ALFI	ANDI	INCEP	OXI	ULTI	LDAS	Y	KP	KBAIRp	latitude	longitude
78	17	10807	1.84	2108	2511	0.00	21.09	0.00	21.76	32.84	0.00	0.00	0.00	59.28	14.82	0.00	1712.19	19.98	2645.94	132286.22	107.5097	-7.0088
69	18	6182	1.05	2408	1357	3.71	46.05	0.00	6.09	24.64	7.99	0.00	0.00	0.95	85.73	0.00	1480.60	4.35	888.22	38401.05	107.4894	-7.0568
2	19	6583	1.12	2416	1637	0.00	98.44	0.00	0.00	0.00	0.00	0.00	0.00	91.15	7.29	0.00	577.04	1.70	286.73	4831.29	107.4917	-7.0241
34	20	4303	0.73	2172	2688	50.27	9.95	0.00	8.95	13.82	16.36	0.00	86.38	0.00	13.62	0.00	4012.70	4.00	430.86	50483.86	107.7631	-6.8611
38	21	8537	1.46	1892	890	25.64	0.00	0.00	18.31	11.57	39.71	0.00	9.61	45.39	43.49	0.00	4248.37	11.79	1018.68	126369.18	107.7666	-6.9242
79	22	16531	2.82	1536	5501	31.64	4.87	0.00	18.81	18.36	24.12	0.00	24.34	39.60	36.06	0.00	2909.01	13.72	1171.89	99544.06	107.7260	-6.9341
77	23	6517	1.11	1892	863	0.00	0.00	0.00	14.11	57.06	0.00	0.00	0.00	71.78	0.00	0.00	593.45	6.67	485.81	8418.45	107.7229	-6.9738
68	24	7370	1.26	1756	1172	19.61	5.26	0.00	14.41	30.33	30.39	0.00	29.28	37.30	33.42	0.00	4856.32	7.43	677.20	96030.33	107.7052	-6.9116
65	25	6040	1.03	1948	1124	27.03	27.61	0.00	13.49	16.62	11.33	0.00	40.43	25.37	29.49	0.00	10524.38	0.18	19.45	5978.18	107.8222	-6.9611
73	26	7710	1.31	3040	2287	19.88	29.96	0.00	12.17	26.44	9.72	0.00	41.67	10.59	47.43	0.00	17370.40	9.65	959.84	486846.05	107.8211	-7.0269
21	27	7207	1.23	2484	1777	49.63	0.00	5.09	0.98	19.10	9.95	0.00	0.00	0.00	92.27	0.00	577.04	11.11	1332.25	217308.96	107.2960	-6.8831
11	28	5964	1.02	3872	1885	0.00	0.00	0.00	14.95	46.73	27.10	0.00	0.00	0.00	91.59	0.00	2360.79	4.79	503.04	34677.11	107.2949	-6.8246
26	29	4396	0.75	2848	596	48.44	0.00	0.00	0.00	38.55	3.80	0.00	0.00	25.81	65.29	0.00	6896.03	13.70	1180.29	237668.88	107.3119	-6.9339
52	30	5080	0.87	3392	1769	4.89	8.91	0.00	0.00	86.21	0.00	0.00	0.00	3.45	96.55	0.00	1078.22	1.68	218.96	6893.86	107.2955	-6.9825
61	31	2938	0.50	2784	2012	11.04	11.28	0.00	0.00	56.79	14.40	0.00	0.00	38.13	54.43	0.00	3961.76	2.05	201.13	23267.03	107.3332	-6.9844
14	32	6954	1.19	3320	1952	0.35	10.79	0.00	5.53	36.24	34.44	0.00	0.00	41.15	47.10	0.00	3700.50	9.47	939.94	101564.38	107.3661	-6.9876
28	33	7259	1.24	1776	1502	0.61	15.67	0.00	0.84	31.64	38.40	0.00	0.00	40.63	47.77	0.00	3566.63	4.66	536.50	55873.68	107.3932	-6.9886
29	34	3493	0.60	2476	2526	7.75	11.90	0.00	6.60	48.61	0.00	0.00	0.00	40.97	35.26	0.00	3828.46	7.33	910.20	101752.74	107.4157	-7.0149
